model,user_group,n_users,mean_history,mean_heldout_positives,median_heldout_positives,rmse,mae,n_test_ratings,precision,recall,hit_rate,ndcg,map,novelty,ild,tail_frac,catalog_coverage,n_users_with_relevant
BiasBaseline,medium,312,50.67628205128205,8.195512820512821,8.0,0.9510819217420875,0.7565671212981573,4314,0.05,0.05585768776893152,0.358974358974359,0.05376888565727408,0.019755035115898212,2.6379566510075163,0.734834792834608,0.0,0.01248513674197384,312
BiasBaseline,heavy,310,156.09354838709677,23.54193548387097,22.0,0.9358620359713469,0.7407197342004351,13623,0.14516129032258066,0.06403890184307684,0.7290322580645161,0.14150997411053304,0.05793273169482846,2.727627306119101,0.7233693095666868,0.01129032258064516,0.018430439952437573,310
Popularity,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.0626076641279218,0.8565825468526697,1696,0.05098039215686275,0.16425070028011202,0.4117647058823529,0.11651198229398825,0.06438383995573539,1.5125416988801885,0.7766768518728844,0.0,0.01248513674197384,306
Popularity,medium,312,50.67628205128205,8.195512820512821,8.0,1.0198922564760866,0.8128733814840357,4314,0.08846153846153847,0.11343242845497847,0.5769230769230769,0.12052979209075411,0.05482535826533843,1.5596623948097907,0.7620889797430375,0.0,0.016646848989298454,312
Popularity,heavy,310,156.09354838709677,23.54193548387097,22.0,1.0191530275773233,0.8109916258267804,13623,0.20870967741935484,0.09596949100438198,0.867741935483871,0.22318567836398187,0.1036880404790351,1.6247352839633284,0.7463287617838845,0.0,0.023781212841854936,310
PopularityPositive,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.0626076641279218,0.8565825468526697,1696,0.04084967320261438,0.12847805788982258,0.3366013071895425,0.09427571992944703,0.0530362113981395,1.6090031963553983,0.6966205078811242,0.0,0.01070154577883472,306
PopularityPositive,medium,312,50.67628205128205,8.195512820512821,8.0,1.0198922564760866,0.8128733814840357,4314,0.08974358974358974,0.1102147743516968,0.5705128205128205,0.12128663559293208,0.054582363780032436,1.666131323663164,0.6765901567580034,0.0,0.015457788347205707,312
PopularityPositive,heavy,310,156.09354838709677,23.54193548387097,22.0,1.0191530275773233,0.8109916258267804,13623,0.2206451612903226,0.10033897227205238,0.8838709677419355,0.24481432078140047,0.12002547363031234,1.7257063593628117,0.6940953988225187,0.0,0.02318668252080856,310
UBCF,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.0624647089005312,0.8514632364067266,1696,0.09281045751633986,0.3263460939931528,0.6405228758169934,0.24081974763963265,0.15262759424757558,1.9952395960407245,0.7043786579445184,0.0,0.06896551724137931,306
UBCF,medium,312,50.67628205128205,8.195512820512821,8.0,1.012820818555922,0.8053515564251345,4314,0.15352564102564104,0.2024765012288083,0.7596153846153846,0.20677667114720358,0.10399250743744791,1.9752108673752768,0.6942617102969098,0.0,0.0713436385255648,312
