model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,tag,l1,l2,threshold,top_m_features,nnz,sparsity_pct,density_pct,mean_nnz_per_column,empty_columns,iterations,converged,kkt_relative_violation,objective,fit_time_s,implicit_nnz,l1_ratio
"SLIM[l1=2,l2=10]",val,10,1.0396638452082332,0.8361522124589166,9596,82.13948058401002,0.08555591700132936,0.05383537500165403,412068,0.23067776456599287,388,943,880,0.9989395546129375,0.10931818181818183,0.1,0.11831001344874498,0.22649861325133247,0.14285714285714285,0.2773729175295033,0.625,1.0,0.48439822277260264,0.19810390197173527,0.15130120674940675,0.21868742974090147,0.11485303789024028,0.05,0.17566942167096367,2.3638098613185234,2.30896751638602,0.3255916910182784,0.7122330401601894,0.7281022753096671,0.0832897889465591,0.05405148806163074,0.047055324211778694,0.03434692866902066,0.7171792152704135,0.8,0.20106324783816332,0.25535524920466596,0.2,0.18132110141099528,0.027465535524920464,0.0,0.0703241103664818,l2_sweep,2.0,10.0,4.0,-1,33778,98.80535126803662,1.194648731963379,20.0820451843044,618,325,True,8.392833220019537e-05,14292.58775170238,82.13948058401002,39239,0.16666666666666666
"SLIM[l1=2,l2=200]",val,10,1.0369556383792804,0.8338230473122964,9596,14.28685170901008,0.05992116703419015,0.041719375003594905,949344,0.15755053507728894,265,943,880,0.9989395546129375,0.11568181818181819,0.1,0.11917230147663846,0.2395063629970109,0.16666666666666666,0.2791549254120536,0.6522727272727272,1.0,0.47651972867351367,0.2064754769996783,0.16421958630632805,0.22040842173753553,0.11868433717131634,0.05285714285714285,0.17366889794808227,2.144753746483441,2.0916870768508744,0.297567203763936,0.7041207088357311,0.7141294278112189,0.07665573693802216,0.034884300424619735,0.027840571088637717,0.029203732923489892,0.8399787910922588,0.9,0.19010221738025426,0.15546129374337225,0.1,0.18283383316297766,0.004559915164369036,0.0,0.03869407977661764,l2_sweep,2.0,200.0,4.0,-1,78551,97.22183514286058,2.7781648571394215,46.700951248513675,618,100,True,9.286441168779839e-05,15464.770571400613,14.28685170901008,39239,0.009900990099009901
"SLIM[l1=2,l2=1000]",val,10,1.0462990040803728,0.8458034576727622,9596,28.63049474998843,0.2624648750061169,0.12067208299413323,1780836,0.10939357907253269,184,943,880,0.9989395546129375,0.10840909090909091,0.1,0.11185565177590462,0.22623827542165517,0.14285714285714285,0.2671657563300173,0.6477272727272727,1.0,0.4779500387366756,0.19439728928896624,0.14829723057014912,0.21040532569585535,0.10964599223527795,0.047619047619047616,0.16414617762979683,1.9921522281643629,1.9636437000805178,0.2576105675923046,0.7019698496136274,0.7125397386724731,0.06862807236820248,0.02451780015304227,0.01915526472337894,0.025507049781378976,0.9120890774125133,1.0,0.1468790124084806,0.0863202545068929,0.0,0.1424442800256896,0.0015906680805938495,0.0,0.033665237160572785,l2_sweep,2.0,1000.0,4.0,-1,147842,94.7711747933291,5.228825206670906,87.89655172413794,618,50,True,1.7034713009744735e-05,16616.291045739305,28.63049474998843,39239,0.001996007984031936
"SLIM[l1=1,l2=49]",val,10,1.035793661989714,0.8321506261095055,9596,61.60995616600849,0.07241804199293256,0.04343299998436123,1028568,0.20332936979785968,342,943,880,0.9989395546129375,0.11340909090909092,0.1,0.1189725292489664,0.23789881241127653,0.15384615384615385,0.28250216066443423,0.6397727272727273,1.0,0.4803392270981564,0.20694448853004205,0.1733071451682328,0.21970388473766705,0.11972134629314687,0.05634920634920636,0.1729650021673158,2.2810900231605893,2.228254765483365,0.31749265023510537,0.7061285114662758,0.7193754417953422,0.08092894043345472,0.04636694943107515,0.038786436644854254,0.0327418965109584,0.7633085896076353,0.8,0.2022445105278926,0.22025450689289502,0.2,0.18529582395770058,0.01643690349946978,0.0,0.05713644409573185,elasticnet_mix,1.0,49.0,4.0,-1,85153,96.98833786864594,3.011662131354065,50.626040428061835,491,200,True,6.281854586040178e-05,14008.513949976477,61.60995616600849,39239,0.02
"SLIM[l1=2.5,l2=47.5]",val,10,1.0366567469048258,0.8330392794792343,9596,66.35167287499644,0.08915550005622208,0.04142458300339058,476268,0.1896551724137931,319,943,880,0.9989395546129375,0.1144318181818182,0.1,0.11842114501698647,0.23726563500307588,0.16666666666666666,0.2797951533688498,0.6431818181818182,1.0,0.479332930140476,0.2079396144278839,0.16764399561865986,0.2213949144231822,0.12056623652196567,0.05555555555555555,0.17520940245091426,2.262036864983131,2.218771341418735,0.309431646310355,0.70782609379553,0.7192145269711445,0.08034538698467164,0.044435689759478876,0.038191552647233784,0.031604684037851126,0.7748674443266172,0.8,0.2002502638831907,0.2125132555673383,0.2,0.18725966503479646,0.01261930010604454,0.0,0.05233233594129218,elasticnet_mix,2.5,47.5,4.0,-1,39128,98.61613430089812,1.3838656991018736,23.2627824019025,618,200,True,7.472653136371831e-05,15007.48936039008,66.35167287499644,39239,0.05
"SLIM[l1=10,l2=40]",val,10,1.0512844624593416,0.8518319957749155,9596,63.831778458028566,0.06210699997609481,0.05684574996121228,112044,0.15636147443519618,263,943,880,0.9978791092258749,0.1065909090909091,0.1,0.11218064380983467,0.21985618592941664,0.14285714285714285,0.2676843235281327,0.6284090909090909,1.0,0.4835046646950577,0.1948430500136713,0.14694892037907953,0.21615354637150175,0.11186471897260587,0.05,0.17065546163234024,2.1746698570617555,2.1229715396598605,0.3445783150091693,0.7094353042465035,0.7166832591799562,0.07151767748035731,0.03761729718272275,0.029863176680547294,0.038707499573365826,0.8340402969247084,0.9,0.1824500236045135,0.15832449628844117,0.1,0.17120824751491745,0.007635206786850477,0.0,0.05994536180955475,elasticnet_mix,10.0,40.0,4.0,-1,8776,99.68961343857805,0.3103865614219496,5.2175980975029725,1105,225,True,7.962528184035215e-05,17076.09623640052,63.831778458028566,39239,0.2
"SLIM[l1=25,l2=25]",val,10,1.0732611457637804,0.8808446743131948,9596,37.02623312501237,0.1189999160123989,0.05492270801914856,32928,0.10879904875148633,183,943,880,0.9915164369034994,0.09579545454545454,0.1,0.1073755764946199,0.19120346388587575,0.1111111111111111,0.24705182357258026,0.5852272727272727,1.0,0.4929629423283758,0.17296572391515272,0.11144551224898769,0.20459963515035265,0.09707837444742207,0.03333333333333333,0.15716668489627386,2.1321947680758764,2.01111878034394,0.6536786228449266,0.709481626008309,0.7191577751983277,0.07014215863125933,0.03933217805136694,0.022546103509815583,0.08334875099484698,0.8966065747613998,1.0,0.17372263883371916,0.08038176033934252,0.0,0.12150446929072109,0.023011664899257687,0.0,0.129225386440623,elasticnet_mix,25.0,25.0,4.0,-1,2183,99.92279240387602,0.07720759612398768,1.297859690844233,1402,175,True,9.210043456493787e-05,18552.04231124998,37.02623312501237,39239,0.5
"SLIM[l1=40,l2=10]",val,10,1.0888511086693764,0.9011185150040164,9596,41.84438050002791,0.07860716700088233,0.024408083991147578,15996,0.07847800237812129,132,943,880,0.9724284199363733,0.08409090909090909,0.1,0.0994711426603378,0.15707221328992374,0.07846153846153847,0.2235019655141434,0.5306818181818181,1.0,0.49934153560449296,0.14736755786959424,0.0840195741275396,0.18979152057881635,0.08059705634147599,0.016666666666666666,0.14120848868447064,2.3508876913753425,1.9464138508619722,1.1858987271617951,0.7106450851620032,0.7158407333808743,0.06674335557876392,0.07370776749435237,0.01814396192742415,0.15279629076425216,0.8886532343584306,1.0,0.24892249667302319,0.02301166489925769,0.0,0.05501058450253091,0.08833510074231177,0.0,0.24064599478688536,elasticnet_mix,40.0,10.0,4.0,-1,772,99.9726961684802,0.027303831519797754,0.4589774078478002,1514,175,True,8.956641023675443e-05,19128.858227744906,41.84438050002791,39239,0.8
"SLIM[l1=49,l2=1]",val,10,1.0959846021348245,0.9102207609512732,9596,27.09468174999347,0.06748254201374948,0.022186708985827863,12096,0.07491082045184304,126,943,880,0.9692470837751855,0.07920454545454546,0.0,0.09976903465056684,0.13995395685152373,0.0,0.20864199434969607,0.49318181818181817,0.0,0.5002378170597593,0.13600519771932645,0.0,0.186007877185234,0.07425866731372682,0.0,0.13797918817982327,2.63212882235796,1.9479900436720405,1.4947592592433723,0.7222777064883159,0.7237955885203259,0.06859941933024133,0.11248190272037994,0.017906008328375966,0.19346461543884175,0.8393425238600212,1.0,0.3041998874301556,0.01039236479321315,0.0,0.03087807034556945,0.15026511134676562,0.0,0.30013697107082693,elasticnet_mix,49.0,1.0,4.0,-1,447,99.98419065713816,0.01580934286185181,0.2657550535077289,1561,147,False,0.0001171842862957079,19306.17377157029,27.09468174999347,39239,0.98
"SLIM[l1=0.5,l2=50]",val,10,1.1124838697234796,0.9229295419109834,9596,84.26454912504414,0.2606239590095356,0.05320612498326227,2878272,0.2348394768133175,395,943,880,1.0,0.1069318181818182,0.1,0.11501454579369833,0.22594208631166252,0.14285714285714285,0.2752375645968864,0.6170454545454546,1.0,0.4863837889932908,0.18694799472619722,0.13886244387355456,0.20651509037620208,0.10390556267751207,0.042222222222222223,0.15417817235311781,2.227155504571232,2.1772741142581418,0.2867522645198308,0.7248644570020217,0.7385739975558558,0.07345372084856867,0.04253982032358409,0.03616894705532421,0.026900126151421632,0.7955461293743372,0.8,0.18350588408556742,0.18875927889713678,0.2,0.16238943112824375,0.015694591728525983,0.0,0.05798931048008088,threshold,0.5,50.0,1.0,-1,239295,91.53669642029793,8.463303579702076,142.26813317479193,42,300,True,8.480807335630462e-05,21616.61398332617,84.26454912504414,70771,0.009900990099009901
