model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,rank_mode,family,similarity,mean_center,min_support,beta,fit_time_s
"UBCF[cosine,raw,k=200]",val,200,1.0101067853015777,0.8059546987203229,9596,0.0002542080474086106,0.007388458005152643,0.01640833297278732,7121536,0.052318668252080855,88,943,880,1.0,0.09465909090909093,0.1,0.10593802107182841,0.19728721731608934,0.1111111111111111,0.26139643940330837,0.5818181818181818,1.0,0.493540863064371,0.16676031785229617,0.1100458831490401,0.1982217793291752,0.09107017507129114,0.031180555555555555,0.14827576127244665,1.875260727826781,1.8681218545658598,0.15874402543654156,0.7120157442493479,0.7144422490730287,0.05768236152410215,0.01656805554942237,0.014158239143367043,0.009780022478518783,0.9577942735949099,1.0,0.10021321266505322,0.042205726405090134,0.0,0.10021321266505322,0.0,0.0,0.0,affinity,ubcf,cosine,False,3,25.0,0.0002542080474086106
"UBCF[cosine,raw,k=300]",val,300,1.0103024235363811,0.8061880220760971,9596,0.0002536249812692404,0.2910319999791682,0.015984041034244,7121536,0.04875148632580262,82,943,880,0.0911983032873807,0.00045454545454545455,0.0,0.006730483674084933,0.0006168831168831168,0.0,0.010400035215821522,0.004545454545454545,0.0,0.06730483674084932,0.0007399194375542221,0.0,0.01197633462447122,0.0003070887445887446,0.0,0.005504793363820802,8.530164751613727,8.582643049361842,0.20242599993540475,0.7036066803318851,0.7046402649863136,0.07006448333198363,0.8832654021649236,0.8913146936347414,0.025023818119643094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,rating,ubcf,cosine,False,3,25.0,0.0002536249812692404
"UBCF[cosine,raw,k=300]",val,300,1.0103024235363811,0.8061880220760971,9596,0.0002536249812692404,0.00593562499852851,0.015469542006030679,7121536,0.06183115338882283,104,943,880,1.0,0.09477272727272727,0.1,0.1050269727826794,0.20065894568422116,0.1111111111111111,0.25927044411510103,0.5886363636363636,1.0,0.49236071254585473,0.16946236969965178,0.1100458831490401,0.2003756659375203,0.09361668287895965,0.028571428571428574,0.1503589970558721,1.8310998852754417,1.8022052694297528,0.17344270472462087,0.7302866651822056,0.734452712761434,0.05272657154519197,0.01449737979778991,0.011481261154074957,0.009974579313933736,0.9652173913043479,1.0,0.09180387589465328,0.034782608695652174,0.0,0.09180387589465329,0.0,0.0,0.0,score,ubcf,cosine,False,3,25.0,0.0002536249812692404
"UBCF[cosine,raw,k=300]",val,300,1.0103024235363811,0.8061880220760971,9596,0.0002536249812692404,0.007798333012033254,0.01576729101361707,7121536,0.05291319857312723,89,943,880,1.0,0.0940909090909091,0.1,0.10444758377154609,0.19729304430441313,0.1111111111111111,0.2612168722013959,0.5829545454545455,1.0,0.4933509184769224,0.1676034597192643,0.1100458831490401,0.199429681337634,0.09192497251425823,0.03125,0.14873374255677604,1.8538705736215635,1.8390942760128364,0.15793045077186488,0.7143763738123317,0.7180646286312659,0.058468886556095986,0.015775339503388566,0.013027959547888162,0.009907897841262043,0.958218451749735,1.0,0.09975451289984268,0.041781548250265116,0.0,0.09975451289984268,0.0,0.0,0.0,affinity,ubcf,cosine,False,3,25.0,0.0002536249812692404
"UBCF[pearson,mc,k=5]",val,5,0.9800313472081114,0.7643401777128846,9596,0.11140345898456872,0.7378511659917422,0.015659458003938198,7121536,0.2164090368608799,364,943,880,1.0,0.0029545454545454545,0.0,0.016942591342113886,0.0042546925927607745,0.0,0.03095679243190199,0.029545454545454545,0.0,0.16942591342113886,0.0026496361725991124,0.0,0.016390954342864084,0.0005945579304954306,0.0,0.0042535043484367065,8.059241859384457,8.28491505701185,0.6929618560289542,0.734182801260915,0.7463508097250423,0.08729899610639802,0.8215891162092958,0.8537180249851278,0.0925043589000237,0.029692470837751856,0.0,0.06809986123601182,0.02587486744432662,0.0,0.058362776018489056,0.9444326617179216,1.0,0.1017274963717626,rating,ubcf,pearson,True,3,25.0,0.11140345898456872
"UBCF[pearson,mc,k=5]",val,5,0.9800313472081114,0.7643401777128846,9596,0.11140345898456872,0.00461187498876825,0.016319125017616898,7121536,0.22889417360285375,385,943,880,1.0,0.04352272727272727,0.0,0.07559456813839338,0.06764583788793246,0.0,0.14616099887574782,0.31363636363636366,0.0,0.46423431232747725,0.06471737296747206,0.0,0.12458137644366805,0.030817905708158688,0.0,0.07857006112520838,2.6145092968633348,2.563579230920831,0.34685346513006726,0.7099370998163759,0.7195091978468862,0.094191580762632,0.07778817966127569,0.06989886972040452,0.03799711813086701,0.6092258748674443,0.6,0.1954626904648321,0.32502651113467657,0.3,0.1618935665715685,0.06574761399787911,0.0,0.0951233858032759,score,ubcf,pearson,True,3,25.0,0.11140345898456872
"UBCF[pearson,mc,k=5]",val,5,0.9800313472081114,0.7643401777128846,9596,0.11140345898456872,0.0043793750228360295,0.015733957989141345,7121536,0.24554102259215219,413,943,880,1.0,0.05113636363636364,0.0,0.08122262301604127,0.08714711680703824,0.0,0.1732364988453784,0.35909090909090907,0.0,0.48000672246818044,0.08090446704729636,0.0,0.14319553570579935,0.04017023516056254,0.0,0.10000793194414237,2.4457754424791993,2.427187109592823,0.26452203362401977,0.7163327128859225,0.7295229040041158,0.08277029574903479,0.05863108549612253,0.05502676977989292,0.025385012153820913,0.6957582184517498,0.7,0.17564873045790114,0.27624602332979853,0.3,0.15924420390811928,0.02799575821845175,0.0,0.058292329990348536,affinity,ubcf,pearson,True,3,25.0,0.11140345898456872
"UBCF[pearson,mc,k=10]",val,10,0.949070363642503,0.7398182349729098,9596,0.000424250029027462,0.817677624989301,0.015919916972052306,7121536,0.17776456599286564,299,943,880,1.0,0.0010227272727272728,0.0,0.011139795600610168,0.0010926330613830614,0.0,0.013995059412268565,0.00909090909090909,0.0,0.09496585056102527,0.0008026512741686416,0.0,0.008925351079401478,0.0001711159211159211,0.0,0.002097890125617339,8.299861910793384,8.401907557156083,0.4272850966388018,0.7295641091938029,0.7395599315925445,0.0872326055256267,0.8554060319849506,0.8690065437239738,0.05447139631261848,0.01039236479321315,0.0,0.03740742039859739,0.006680805938494168,0.0,0.030001962472745274,0.9829268292682928,1.0,0.05228455897730908,rating,ubcf,pearson,True,3,25.0,0.000424250029027462
"UBCF[pearson,mc,k=10]",val,10,0.949070363642503,0.7398182349729098,9596,0.000424250029027462,0.004455832997336984,0.01589437498478219,7121536,0.1456599286563615,245,943,880,1.0,0.05227272727272727,0.0,0.08286298122854699,0.08297582064500188,0.0,0.16310721234977368,0.3613636363636364,0.0,0.4806688121576785,0.0773779110793246,0.0,0.13175058170496948,0.03648548946093589,0.0,0.08043628480423491,2.431732937982433,2.4125677539285797,0.272616402555219,0.6946519457654464,0.7029809815958198,0.08689210332629112,0.05777194178842443,0.05342058298631767,0.02551882364482191,0.6952279957582186,0.7,0.17860192478840514,0.2831389183457052,0.3,0.1636302236995302,0.021633085896076355,0.0,0.05211742669499235,score,ubcf,pearson,True,3,25.0,0.000424250029027462
"UBCF[pearson,mc,k=10]",val,10,0.949070363642503,0.7398182349729098,9596,0.000424250029027462,0.0045584579929709435,0.01533154200296849,7121536,0.17063020214030916,287,943,880,1.0,0.055795454545454544,0.0,0.08737378793955188,0.08997800469856235,0.0,0.16901182368651257,0.3715909090909091,0.0,0.4835046646950577,0.08298313919713268,0.0,0.13686493860758842,0.039002462980141546,0.0,0.08486880656929628,2.3308153646510914,2.3083078465191598,0.23189647008121933,0.6972580532882469,0.7042668580787417,0.08227671806800886,0.047084910701161956,0.044259369422962526,0.019134732899198245,0.7591728525980913,0.8,0.16355315213169994,0.2342523860021209,0.2,0.15755445232719575,0.006574761399787911,0.0,0.026049855828081208,affinity,ubcf,pearson,True,3,25.0,0.000424250029027462
