model,stratum,level,n,rmse,mae,bias
BiasBaseline,user_group,heavy,13623,0.9358620359713469,0.7407197342004351,0.011831020369085544
BiasBaseline,overall,all,19633,0.9437945818238221,0.7485067777114399,0.010542022770848768
Popularity,true_rating,1,1163,2.16077996630107,2.063498479789019,2.063498479789019
Popularity,true_rating,2,2283,1.3398895097923145,1.235046750612547,1.2293954367079967
Popularity,true_rating,3,5350,0.6482934092507138,0.5485872000400152,0.4203542202209758
Popularity,true_rating,4,6736,0.5815354756256812,0.4422242238303545,-0.3711638063050789
Popularity,true_rating,5,4101,1.258666612568557,1.1885916435610984,-1.1885916435610984
Popularity,item_group,head,6381,0.9727662570179471,0.7687500605219267,0.007665885651191935
Popularity,item_group,medium,6589,1.0052407988878862,0.808582938880764,0.010425550511762973
Popularity,item_group,long_tail,6663,1.0858241941402074,0.8666503925178926,-0.005512547800710175
Popularity,user_group,sparse,1696,1.0626076641279218,0.8565825468526697,-0.07210895784620969
Popularity,user_group,medium,4314,1.0198922564760866,0.8128733814840357,-0.03765795534277161
Popularity,user_group,heavy,13623,1.0191530275773233,0.8109916258267804,0.026839394738458373
Popularity,overall,all,19633,1.0231415780939983,0.8153434872827631,0.004119587565126576
PopularityPositive,true_rating,1,1163,2.16077996630107,2.063498479789019,2.063498479789019
PopularityPositive,true_rating,2,2283,1.3398895097923145,1.235046750612547,1.2293954367079967
PopularityPositive,true_rating,3,5350,0.6482934092507138,0.5485872000400152,0.4203542202209758
PopularityPositive,true_rating,4,6736,0.5815354756256812,0.4422242238303545,-0.3711638063050789
PopularityPositive,true_rating,5,4101,1.258666612568557,1.1885916435610984,-1.1885916435610984
PopularityPositive,item_group,head,6381,0.9727662570179471,0.7687500605219267,0.007665885651191935
PopularityPositive,item_group,medium,6589,1.0052407988878862,0.808582938880764,0.010425550511762973
PopularityPositive,item_group,long_tail,6663,1.0858241941402074,0.8666503925178926,-0.005512547800710175
PopularityPositive,user_group,sparse,1696,1.0626076641279218,0.8565825468526697,-0.07210895784620969
PopularityPositive,user_group,medium,4314,1.0198922564760866,0.8128733814840357,-0.03765795534277161
PopularityPositive,user_group,heavy,13623,1.0191530275773233,0.8109916258267804,0.026839394738458373
PopularityPositive,overall,all,19633,1.0231415780939983,0.8153434872827631,0.004119587565126576
UBCF,true_rating,1,1163,2.119361460937289,2.0096500915181297,2.0096500915181297
UBCF,true_rating,2,2283,1.3248791326766407,1.2118744381258375,1.2021858982490543
UBCF,true_rating,3,5350,0.6597605156615443,0.553440370069486,0.41175747537167273
UBCF,true_rating,4,6736,0.5966006090446194,0.4514712771476023,-0.36080574247800257
UBCF,true_rating,5,4101,1.236595212580078,1.1538335967139481,-1.1538335967139481
UBCF,item_group,head,6381,0.9578593981834763,0.7519245732448968,0.04414868496779905
UBCF,item_group,medium,6589,0.9983557445284519,0.8016036289525984,0.00946531051170267
UBCF,item_group,long_tail,6663,1.0824318768217478,0.8641788186244057,-0.033261713315358876
UBCF,user_group,sparse,1696,1.0624647089005312,0.8514632364067266,-0.06539538144221846
UBCF,user_group,medium,4314,1.012820818555922,0.8053515564251345,-0.029844444882388903
UBCF,user_group,heavy,13623,1.0097091772061757,0.8015453437697229,0.026581252005397245
UBCF,overall,all,19633,1.0150561513670293,0.8066938563407922,0.00623729913517539
UBCF-rating,true_rating,1,1163,1.8859600584994978,1.6936722723246647,1.6936722723246647
UBCF-rating,true_rating,2,2283,1.2742136673740088,1.126898629227804,1.097302430719333
UBCF-rating,true_rating,3,5350,0.7032667078010536,0.5718976616190973,0.3958602444479399
UBCF-rating,true_rating,4,6736,0.5983652091250902,0.46328638508172615,-0.2566242462594832
UBCF-rating,true_rating,5,4101,1.0703206366441462,0.9262891266875604,-0.9262891266875604
UBCF-rating,item_group,head,6381,0.9235017124506603,0.7135530747397345,0.0570198732602374
UBCF-rating,item_group,medium,6589,0.9319116895166472,0.7331765737604491,0.045157588872476784
UBCF-rating,item_group,long_tail,6663,0.982728300070399,0.771038435680201,0.060635571685188724
UBCF-rating,user_group,sparse,1696,1.0193833573258106,0.7973289894607832,0.07411197418311857
UBCF-rating,user_group,medium,4314,0.9654999045863522,0.7536877566429548,0.10542846474870797
UBCF-rating,user_group,heavy,13623,0.931293091126847,0.7280211967316912,0.035593457634312674
UBCF-rating,overall,all,19633,0.9467881493901374,0.7396481287301494,0.054265877781935354
IBCF,true_rating,1,1163,1.9045095779487964,1.749312943461017,1.749312943461017
IBCF,true_rating,2,2283,1.2205479889458515,1.0795323929659275,1.055631419048986
IBCF,true_rating,3,5350,0.6544141312532704,0.5357185075216204,0.35546651169518445
IBCF,true_rating,4,6736,0.5934055015402253,0.4548320867776021,-0.3109979758176271
IBCF,true_rating,5,4101,1.112230514817749,0.9902348958757033,-0.9902348958757033
IBCF,item_group,head,6381,0.9031596989442673,0.7040488532186956,0.010359914955571982
IBCF,item_group,medium,6589,0.9186532623749533,0.7274099184938837,0.014174138039626416
IBCF,item_group,long_tail,6663,0.9945198597159531,0.7810865947474915,0.004632693161464177
IBCF,user_group,sparse,1696,0.997650501107083,0.7824116089152839,-0.03564060830845023
IBCF,user_group,medium,4314,0.9472429361336921,0.7432094924307334,-0.00590981525793416
IBCF,user_group,heavy,13623,0.9305665221163916,0.7308701333833022,0.020282541446325967
IBCF,overall,all,19633,0.940217594634003,0.7380339054727872,0.009696309652597112
IBCF-rating,true_rating,1,1163,1.8480400905256953,1.6644350294398524,1.6644350294398524
IBCF-rating,true_rating,2,2283,1.212143223289466,1.059703202086794,1.0257059752915023
IBCF-rating,true_rating,3,5350,0.6753178366090259,0.5546842122077942,0.34911080995452737
IBCF-rating,true_rating,4,6736,0.6048787804318534,0.46010251206980746,-0.2865562707433508
IBCF-rating,true_rating,5,4101,1.070725443598114,0.9345012450037977,-0.9345012450037977
IBCF-rating,item_group,head,6381,0.8774850807408859,0.683992009703931,0.011803159050910828
IBCF-rating,item_group,medium,6589,0.9056953457939313,0.713668481752532,0.02471878914319975
IBCF-rating,item_group,long_tail,6663,0.9963377040970357,0.7785271456984809,0.02166393651952261
IBCF-rating,user_group,sparse,1696,1.027667854973248,0.8131969180309547,-0.040121788123868546
IBCF-rating,user_group,medium,4314,0.9425997065865648,0.7370842155837659,0.00979774833886116
IBCF-rating,user_group,heavy,13623,0.9110908304781885,0.7116844845458659,0.029972394841240427
IBCF-rating,overall,all,19633,0.9286790983026721,0.72603478897658,0.019484279967299154
RegressionCF,true_rating,1,1163,1.9476129371480704,1.8232028722148053,1.8232028722148053
RegressionCF,true_rating,2,2283,1.2549755356397476,1.1511045875540962,1.1385779548934087
RegressionCF,true_rating,3,5350,0.6092116343671355,0.49637776550845564,0.38344765888196286
RegressionCF,true_rating,4,6736,0.5534655626351392,0.43626350966103006,-0.3308274813368032
RegressionCF,true_rating,5,4101,1.1390136683839933,1.0484839171730753,-1.0484839171730753
RegressionCF,item_group,head,6381,0.9164649426042188,0.7206677104253191,-0.0170291701821843
RegressionCF,item_group,medium,6589,0.9289672114591669,0.7379375409783244,-0.0008773594565484896
RegressionCF,item_group,long_tail,6663,0.9747628491567099,0.7776722477735851,0.05363364613630491
RegressionCF,user_group,sparse,1696,0.9862638538231046,0.7893738147785079,0.0070237313520233585
RegressionCF,user_group,medium,4314,0.9490175914622441,0.7546498795378026,0.00889118960128098
RegressionCF,user_group,heavy,13623,0.9323241877681672,0.7375867088346993,0.014141384974053137
RegressionCF,overall,all,19633,0.9407811246701672,0.745809672726814,0.0123728889020773
RegressionCF-rating,true_rating,1,1163,1.9095927179231025,1.7892591936877342,1.7892591936877342
RegressionCF-rating,true_rating,2,2283,1.2398852040227508,1.12471800042619,1.1142669377805265
RegressionCF-rating,true_rating,3,5350,0.62166951761115,0.5079415135517299,0.3839539151325404
RegressionCF-rating,true_rating,4,6736,0.5459369424924964,0.42807479358483946,-0.29209890306845415
RegressionCF-rating,true_rating,5,4101,1.077303534248714,0.969547470759485,-0.969547470759485
RegressionCF-rating,item_group,head,6381,0.8841429469759015,0.68838384433182,0.012631844342119211
RegressionCF-rating,item_group,medium,6589,0.9046459023794619,0.7152302030511828,0.024436193653042428
RegressionCF-rating,item_group,long_tail,6663,0.965021714391317,0.76850121616691,0.0740848026099585
RegressionCF-rating,user_group,sparse,1696,0.976936011828559,0.7794764592962445,0.01168267456990368
RegressionCF-rating,user_group,medium,4314,0.9329891351337519,0.7388654444634389,0.0210095614982414
RegressionCF-rating,user_group,heavy,13623,0.9071873364047748,0.7132272714911548,0.04586301505858788
RegressionCF-rating,overall,all,19633,0.9191158951419421,0.7245837478686756,0.03744923947013257
SLIM,true_rating,1,1163,2.23250563592995,2.2208202631434593,2.2208202631434593
SLIM,true_rating,2,2283,1.3297612579030824,1.3006052209575918,1.3006052209575918
SLIM,true_rating,3,5350,0.5252151285258734,0.4125515059444392,0.4125515059444392
SLIM,true_rating,4,6736,0.58351803327197,0.5166317425898305,-0.4144900656723353
SLIM,true_rating,5,4101,1.3389387172362361,1.2457360384145093,-1.2457360384145093
SLIM,item_group,head,6381,0.9735413089488765,0.7744504510562372,-0.0071599926998614895
SLIM,item_group,medium,6589,1.0045389455873526,0.8193755674876,-0.05234289339377895
SLIM,item_group,long_tail,6663,1.1132850194578767,0.9016069655623787,0.03737849382672173
SLIM,user_group,sparse,1696,1.1236566399799097,0.9322073039300037,-0.2919511141360931
SLIM,user_group,medium,4314,1.0618502568036994,0.8751726674436694,-0.22630723781700648
SLIM,user_group,heavy,13623,1.0119078572758988,0.8068356954481759,0.09762285692544968
SLIM,overall,all,19633,1.033116819337373,0.832681768140772,-0.007208390649517586
