model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,rank_mode,family,similarity,mean_center,center_by,min_support,beta,fit_time_s
"IBCF[pearson,mc-item,k=20]",val,20,0.9273476256844522,0.7267678330071815,9596,0.0008221659809350967,1.3261066669947468,0.016772958973888308,22653992,0.1605231866825208,270,943,880,0.7062566277836692,0.0020454545454545456,0.0,0.016396612410547833,0.0020261509324009325,0.0,0.017022340037734177,0.01818181818181818,0.0,0.13368451012355495,0.0026465761941641985,0.0,0.02155049434201851,0.0009878246753246753,0.0,0.009204097899196118,7.906046885470283,8.49195398980099,1.2388130894222584,0.7048837747139932,0.7211983001784765,0.08950872281363062,0.7992838681716874,0.878167757287329,0.16639325627143972,0.03732767762460234,0.0,0.09491344670156436,0.030965005302226935,0.0,0.07911279435430581,0.9317073170731709,1.0,0.15115251229802454,rating,ibcf,pearson,True,item,3,25.0,0.0008221659809350967
"IBCF[pearson,mc-item,k=20]",val,20,0.9273476256844522,0.7267678330071815,9596,0.0008221659809350967,0.005112708022352308,0.015858625003602356,22653992,0.6771700356718192,1139,943,880,1.0,0.026136363636363635,0.0,0.05702985702239693,0.04883176796966163,0.0,0.14315373980446636,0.21022727272727273,0.0,0.4077016723479674,0.04164658426600457,0.0,0.10690690645090696,0.019728397924826495,0.0,0.07547398379912225,3.6214552282102908,3.3554529134437643,1.02888650352176,0.7288859667666084,0.7451942784632231,0.09402438104107133,0.20035522712519624,0.15698988697204044,0.14713945712556106,0.22386002120890774,0.2,0.18884257343122324,0.437221633085896,0.5,0.20374289790986638,0.3389183457051962,0.3,0.27589210003668674,score,ibcf,pearson,True,item,3,25.0,0.0008221659809350967
"IBCF[pearson,mc-item,k=20]",val,20,0.9273476256844522,0.7267678330071815,9596,0.0008221659809350967,0.004609125026036054,0.014205916959326714,22653992,0.2794292508917955,470,943,880,0.9989395546129375,0.030113636363636363,0.0,0.058147243919082284,0.06162253352140851,0.0,0.15839985268049914,0.24772727272727274,0.0,0.43193805457132994,0.052504277309279326,0.0,0.12716541726382022,0.027091181264172336,0.0,0.09892636606586266,3.1741120488152763,3.1873724487734907,0.3275867936785768,0.7355260713942556,0.7435044329857465,0.08868195684063072,0.13324903181525416,0.13224271267102913,0.040258097554006105,0.23425238600212087,0.2,0.1870648465857898,0.6166489925768823,0.6,0.1743310259228187,0.14909862142099684,0.1,0.1411837046504283,affinity,ibcf,pearson,True,item,3,25.0,0.0008221659809350967
"IBCF[pearson,mc-item,k=30]",val,30,0.925561683023091,0.7260095936399766,9596,0.0006033339886926115,1.5416171660181135,0.021862665947992355,22653992,0.1724137931034483,290,943,880,0.7094379639448568,0.0023863636363636366,0.0,0.019811071138705248,0.0024743832556332556,0.0,0.020993503274575817,0.019318181818181818,0.0,0.13771907115099466,0.0029734775357218844,0.0,0.023904428975434534,0.0011319444444444445,0.0,0.010396094731366734,7.98142115528163,8.507154299145494,1.1388548752231018,0.6992402606834331,0.7111111111111111,0.088460420312281,0.8100635068632455,0.8790005948839976,0.15227226284010173,0.033085896076352074,0.0,0.09092424719887063,0.024072110286320256,0.0,0.06821630310287943,0.9428419936373277,1.0,0.13826796139241204,rating,ibcf,pearson,True,item,3,25.0,0.0006033339886926115
"IBCF[pearson,mc-item,k=30]",val,30,0.925561683023091,0.7260095936399766,9596,0.0006033339886926115,0.004828916979022324,0.014827458013314754,22653992,0.6801426872770512,1144,943,880,1.0,0.02931818181818182,0.0,0.06349321991421589,0.0498890946522426,0.0,0.1429261434541792,0.21704545454545454,0.0,0.4124682470377025,0.04346600705977468,0.0,0.1061728874023447,0.01995268068296342,0.0,0.07029177725801138,3.669776585460415,3.36063928187221,1.129033747311819,0.7310736627701742,0.7474983761578604,0.09365798437179841,0.20757862026024756,0.1587150505651398,0.16189243703472533,0.2241781548250265,0.2,0.19621887035887867,0.4291622481442206,0.4,0.2120270137018256,0.3466595970307529,0.3,0.2964886111292458,score,ibcf,pearson,True,item,3,25.0,0.0006033339886926115
"IBCF[pearson,mc-item,k=30]",val,30,0.925561683023091,0.7260095936399766,9596,0.0006033339886926115,0.005963791976682842,0.015815416991245,22653992,0.26634958382877527,448,943,880,0.9989395546129375,0.03306818181818182,0.0,0.06134365709001519,0.06645011231586274,0.0,0.16140956997378603,0.26931818181818185,0.0,0.4438578302823411,0.056931908250714064,0.0,0.1298837745021629,0.02901876850277148,0.0,0.09969265047458346,3.1256645058952683,3.1237996068801657,0.31554171186225655,0.7321904809243265,0.739601969365485,0.08772204182953215,0.1269276796432967,0.1246281975014872,0.038408263756932105,0.2541887592788971,0.2,0.18654574412347796,0.622693531283139,0.6,0.1725122181910678,0.12311770943796395,0.1,0.12215350899729753,affinity,ibcf,pearson,True,item,3,25.0,0.0006033339886926115
"IBCF[pearson,mc-item,k=50]",val,50,0.9278046691219056,0.729273633310679,9596,0.0009699999936856329,1.3877909579896368,0.01901124999858439,22653992,0.17954815695600476,302,943,880,0.7306468716861082,0.0014772727272727277,0.0,0.012071061185777792,0.00196969696969697,0.0,0.019594593312287283,0.014772727272727272,0.0,0.12071061185777794,0.0018700223469109887,0.0,0.01626767260569511,0.0006243010461760461,0.0,0.006036164211656487,8.050607250590852,8.49195398980099,1.0246929903750488,0.6973248649674003,0.7149238416723069,0.0881635256328194,0.8201699740660857,0.8797739440809043,0.1361384560692153,0.029056203605514315,0.0,0.08744946991817112,0.01707317073170732,0.0,0.054472201672138225,0.9538706256627784,1.0,0.12209847847623288,rating,ibcf,pearson,True,item,3,25.0,0.0009699999936856329
"IBCF[pearson,mc-item,k=50]",val,50,0.9278046691219056,0.729273633310679,9596,0.0009699999936856329,0.005803167005069554,0.01642037503188476,22653992,0.6819262782401903,1147,943,880,1.0,0.02943181818181818,0.0,0.06494695401849804,0.05004252872820321,0.0,0.14364330889411134,0.21931818181818183,0.0,0.41401993174045876,0.04427850559480461,0.0,0.10774393230485242,0.020629584535834536,0.0,0.07139859047967556,3.6895171761378207,3.345472640290127,1.1583401013805412,0.731187760615738,0.743008848255987,0.09362055498077215,0.21060722957538658,0.15532421177870315,0.16593921786095858,0.22173913043478263,0.2,0.1989471967043653,0.4301166489925769,0.5,0.21706566357241908,0.3481442205726405,0.3,0.30514737031018463,score,ibcf,pearson,True,item,3,25.0,0.0009699999936856329
"IBCF[pearson,mc-item,k=50]",val,50,0.9278046691219056,0.729273633310679,9596,0.0009699999936856329,0.0058267919812351465,0.014946083014365286,22653992,0.25089179548156954,422,943,880,0.9989395546129375,0.03556818181818182,0.0,0.06606712128935076,0.0697299815606296,0.0,0.16449111709691278,0.2784090909090909,0.0,0.44847075858432756,0.060305287570197076,0.0,0.13441832226245706,0.031071211691747407,0.0,0.10236750188055134,3.0691937790123953,3.0795999310383357,0.29963242242251775,0.7321154493682239,0.7411051828193114,0.08809292701933255,0.11987133346749239,0.1182034503271862,0.036058767291656774,0.2795334040296925,0.3,0.1865856892271954,0.6251325556733828,0.6,0.17974491961065134,0.09533404029692472,0.1,0.10845111893769994,affinity,ibcf,pearson,True,item,3,25.0,0.0009699999936856329
"IBCF[pearson,mc-item,k=80]",val,80,0.929935701402569,0.7314928443362547,9596,0.0024938329588621855,1.6019462500116788,0.01894787495257333,22653992,0.1813317479191439,305,943,880,0.7465535524920467,0.0013636363636363637,0.0,0.011604186818644299,0.001938131313131313,0.0,0.01957533548257177,0.013636363636363636,0.0,0.11604186818644299,0.001805057924835766,0.0,0.01619236168864469,0.0006192956349206349,0.0,0.006053482220571194,8.091429952356163,8.49195398980099,0.9688512299741509,0.698697796829395,0.7155712144534976,0.08730229430531207,0.8258173346547371,0.8791790600832836,0.12838966361221085,0.025980911983032873,0.0,0.08467163786926908,0.014422057264050903,0.0,0.04902293779607742,0.9595970307529164,1.0,0.11385284423234306,rating,ibcf,pearson,True,item,3,25.0,0.0024938329588621855
