model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,rank_mode,family,lam,similarity,weight_mode,pearson_sim_coef,spearman_sim_coef,frac_negative_coef,mean_abs_coef,rank_deficient_solves,fit_time_s
"RegCF[learned,k=10,lam=300]",val,10,0.9302840537384758,0.7362381299733821,9596,0.073396582971327,0.014493082999251783,0.015287209011148661,462380,0.2812128418549346,473,943,880,0.9989395546129375,0.08227272727272728,0.1,0.1046335745393474,0.1509020668609895,0.04772727272727273,0.22352894464812986,0.5045454545454545,1.0,0.5002636599280592,0.1373967103304717,0.06362078819895173,0.18340497973169045,0.07358301356106416,0.01,0.13164672753195447,2.611852824163586,2.4756608831065425,0.48291876193682165,0.7044660277592669,0.7161109776441352,0.09270856526118879,0.07976460761943574,0.06085663295657347,0.0564465331263899,0.6376458112407211,0.7,0.2590886643376632,0.267338282078473,0.2,0.17855880667026328,0.09501590668080594,0.0,0.1413709593740957,affinity,regression,300.0,adjusted_cosine,learned,0.7406890263035828,0.8281230760016776,0.01896341463414634,0.015012291941799476,0,0.073396582971327
"RegCF[learned,k=10,lam=1000]",val,10,0.936979131116824,0.7422985253066284,9596,0.07413954200455919,0.015065500047057867,0.015521000022999942,462380,0.020808561236623068,35,943,880,1.0,0.04,0.0,0.07352648056795523,0.0586407265231288,0.0,0.13441995214127334,0.28863636363636364,0.0,0.45338615219178907,0.05126292638800528,0.0,0.10052324648915514,0.02085006742596028,0.0,0.0567994792342378,2.646536573759194,2.6294039254104034,0.13903813330851272,0.7354353300638037,0.7537391215033887,0.04293604427182008,0.0768549120196217,0.07566924449732301,0.011229942056322146,0.5878048780487805,0.6,0.11993343915505558,0.40498409331919405,0.4,0.11071364126619698,0.0072110286320254515,0.0,0.027083362017993506,rating,regression,1000.0,adjusted_cosine,learned,0.7391495254862764,0.8373489070415298,0.01871951219512195,0.005017429101340838,0,0.07413954200455919
"RegCF[learned,k=10,lam=1000]",val,10,0.936979131116824,0.7422985253066284,9596,0.07413954200455919,0.015750624996144325,0.014437208010349423,462380,0.40249702734839476,677,943,880,1.0,0.06102272727272728,0.0,0.08855482060249,0.10772297363211207,0.0,0.19042418720107376,0.4113636363636364,0.0,0.4923607125458547,0.10341614437438125,0.0,0.16847183182381875,0.05517934088618612,0.0,0.12583923152093657,2.9701797035024207,2.8900920271488317,0.5452870078716474,0.7171982707387083,0.7354338710133635,0.0961198045175929,0.12060582279774638,0.10713860797144556,0.06824671417293823,0.46542948038176035,0.4,0.24441316056586979,0.34093319194061505,0.3,0.16555888360214435,0.19363732767762462,0.1,0.1908796932332435,score,regression,1000.0,adjusted_cosine,learned,0.7391495254862764,0.8373489070415298,0.01871951219512195,0.005017429101340838,0,0.07413954200455919
"RegCF[learned,k=10,lam=1000]",val,10,0.936979131116824,0.7422985253066284,9596,0.07413954200455919,0.01373299997067079,0.013390874955803156,462380,0.26397146254458975,444,943,880,0.9989395546129375,0.08261363636363636,0.1,0.10571813382002476,0.1536224969978023,0.054093567251461985,0.22742347425389994,0.5056818181818182,1.0,0.5002520308025347,0.13997207458394653,0.06493750582667038,0.18929725161019273,0.07616186167227834,0.010555555555555554,0.13995880724033047,2.532821038543899,2.389914641322366,0.4727962435806094,0.698452868825207,0.7084950333204497,0.0908575805899181,0.071164843428172,0.051576442593694226,0.05427524027381698,0.6793213149522801,0.8,0.26164343746183766,0.2445387062566278,0.2,0.18617097801315705,0.07613997879109226,0.0,0.13094929215348394,affinity,regression,1000.0,adjusted_cosine,learned,0.7391495254862764,0.8373489070415298,0.01871951219512195,0.005017429101340838,0,0.07413954200455919
"RegCF[learned,k=10,lam=3000]",val,10,0.9400048928687399,0.7448917243316768,9596,0.0710304580279626,0.015050874964799732,0.017914542055223137,462380,0.020214030915576695,34,943,880,1.0,0.039886363636363636,0.0,0.07381978976569076,0.05829805097294336,0.0,0.13445633241711738,0.2875,0.0,0.4528540513331792,0.049688945437686205,0.0,0.09756474187745577,0.019809952200577196,0.0,0.05467017949876878,2.6408429676244034,2.629146009563376,0.13131274714412478,0.7340407869264022,0.7537391215033887,0.04407366692678925,0.07631150472847613,0.07560975609756097,0.010207089359079505,0.5913043478260869,0.6,0.11769502337279981,0.40445387062566274,0.4,0.11211768604350385,0.0042417815482502655,0.0,0.021191495555329468,rating,regression,3000.0,adjusted_cosine,learned,0.7353453786387982,0.8400205800536595,0.01847560975609756,0.0017330890597510708,0,0.0710304580279626
"RegCF[learned,k=10,lam=3000]",val,10,0.9400048928687399,0.7448917243316768,9596,0.0710304580279626,0.012318833963945508,0.014216709008906037,462380,0.3995243757431629,672,943,880,1.0,0.061136363636363635,0.0,0.08892521967577091,0.1081764703977746,0.0,0.1916600839054189,0.4090909090909091,0.0,0.49194567705975883,0.10343645332281452,0.0,0.16671791714285233,0.054897979404303805,0.0,0.12229822137383003,2.943284478495135,2.871964643321638,0.5456916256107406,0.7165194005379023,0.7352610244090186,0.09610899325695225,0.11740549829262614,0.10232004759071982,0.0678523083598468,0.4782608695652174,0.5,0.24887079976287818,0.33743372216330864,0.3,0.16781532922078696,0.18430540827147404,0.1,0.18916432617055554,score,regression,3000.0,adjusted_cosine,learned,0.7353453786387982,0.8400205800536595,0.01847560975609756,0.0017330890597510708,0,0.0710304580279626
"RegCF[learned,k=10,lam=3000]",val,10,0.9400048928687399,0.7448917243316768,9596,0.0710304580279626,0.014308957965113223,0.013408583996351808,462380,0.25980975029726516,437,943,880,0.9989395546129375,0.08306818181818183,0.1,0.10557667583956265,0.1531928498352006,0.05555555555555555,0.22629362387283322,0.5079545454545454,1.0,0.5002210184794076,0.14009249991428704,0.06625422345438904,0.18901074572102433,0.07619254245258708,0.01111111111111111,0.13984626059207328,2.50895835654847,2.3704939276811126,0.46959969157532117,0.694580612788921,0.7054884930816671,0.09220120697770966,0.0686543446403349,0.04907792980368828,0.053691409407073,0.6928950159066809,0.8,0.26118787237904545,0.23594909862142102,0.2,0.18657525122643082,0.07115588547189819,0.0,0.12833839328060306,affinity,regression,3000.0,adjusted_cosine,learned,0.7353453786387982,0.8400205800536595,0.01847560975609756,0.0017330890597510708,0,0.0710304580279626
"RegCF[similarity,k=10,lam=0]",val,10,0.9228490286675154,0.7280046327380089,9596,0.07583758304826915,0.014965832990128547,0.015741375042125583,458516,0.12187871581450654,205,943,880,1.0,0.043522727272727275,0.0,0.07678908620677558,0.06927268413791994,0.0,0.15112056135507682,0.31477272727272726,0.0,0.46468940113627477,0.05915481217220964,0.0,0.10856704051181135,0.025031874155386057,0.0,0.06054067502271471,3.0186253090484136,2.8875036015072517,0.5206653648720726,0.7399363396601415,0.7537391215033887,0.06022609473890493,0.1278515477392831,0.10214158239143364,0.06988775772229688,0.5314952279957582,0.6,0.1608582070307134,0.36627783669141045,0.3,0.1297868381684733,0.10222693531283139,0.1,0.11668330228306245,rating,regression,0.0,adjusted_cosine,similarity,1.0,1.0,0.0,0.08269916765755053,0,0.07583758304826915
"RegCF[similarity,k=10,lam=0]",val,10,0.9228490286675154,0.7280046327380089,9596,0.07583758304826915,0.012339083012193441,0.014168000023346394,458516,0.7306777645659929,1229,943,880,1.0,0.01954545454545455,0.0,0.043244656555605415,0.04113781370814592,0.0,0.13351066812661047,0.1806818181818182,0.0,0.384973132506795,0.028005369186536077,0.0,0.07619473890104166,0.011284743695457981,0.0,0.04233790810892391,5.765438386209816,5.818025062675931,0.8427191549739141,0.7188759865591954,0.7363564215404683,0.11246176281825608,0.513074894192027,0.5183224271267103,0.1203485951815999,0.07179215270413576,0.0,0.11225194999668085,0.12555673382820787,0.1,0.11726755802125206,0.8026511134676565,0.8,0.1664011862770408,score,regression,0.0,adjusted_cosine,similarity,1.0,1.0,0.0,0.08269916765755053,0,0.07583758304826915
"RegCF[similarity,k=10,lam=0]",val,10,0.9228490286675154,0.7280046327380089,9596,0.07583758304826915,0.013394292036537081,0.013570374983828515,458516,0.5321046373365041,895,943,880,0.9968186638388123,0.03590909090909091,0.0,0.06422082855710097,0.07241448836998257,0.0,0.16982033708027666,0.2840909090909091,0.0,0.4512367945335626,0.046500805666870995,0.0,0.09482452113249441,0.018174637531780388,0.0,0.055470250891000945,5.6426670521660975,5.70372331926383,1.0294599160162343,0.7184865523232771,0.7411883026383825,0.11253610951813824,0.4972866224278206,0.5041641879833432,0.14492238334300578,0.1375397667020149,0.1,0.16450108660238014,0.1364793213149523,0.1,0.12477202713159821,0.7259809119830328,0.8,0.20130536757698064,affinity,regression,0.0,adjusted_cosine,similarity,1.0,1.0,0.0,0.08269916765755053,0,0.07583758304826915
