model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,method,alpha,max_path_len,beta,normalize,fit_time_s,iterations,mass_min,mass_max,final_delta
"Graph-Path[L=7,b=0.4,degree]",val,10,1.0525667547220428,0.8427318178026867,9596,0.16363975004060194,0.01859616703586653,0.030329334025736898,13163652,0.07372175980975029,124,943,880,0.9989395546129375,0.09602272727272727,0.1,0.10415748744332182,0.20809413881885766,0.1111111111111111,0.2649483327532519,0.6011363636363637,1.0,0.48994307165803985,0.17057808353519086,0.11838279295536293,0.20068532305235667,0.09351484999513272,0.03333333333333333,0.15590676398265116,1.815272612831842,1.7765879499994555,0.24351851234374353,0.7108605976310438,0.7165173884708134,0.05911876808536102,0.01606634691388944,0.011124330755502678,0.024543732555015012,0.9471898197242843,1.0,0.11706809776402094,0.05090137857900318,0.0,0.11037830060470222,0.0019088016967126196,0.0,0.034118629017221284,path,,7,0.4,degree,0.16363975004060194,7,,,
"Graph-Path[L=9,b=0.4,degree]",val,10,1.05255487275852,0.8427187634713785,9596,0.2044412909890525,0.018167083035223186,0.030345792009029537,13163652,0.07312722948870393,123,943,880,0.9989395546129375,0.09625,0.1,0.10427508578446897,0.20830247215219097,0.1111111111111111,0.2649532099819373,0.6011363636363637,1.0,0.48994307165803985,0.17072892363363024,0.11838279295536293,0.2007104742318633,0.09357996543524817,0.03333333333333333,0.15592427580470147,1.814122027892309,1.775336666833902,0.24245469483578713,0.7109354854520654,0.7165235023233395,0.05904558860233276,0.0159919706431371,0.011124330755502678,0.024452600374683203,0.9475079533404029,1.0,0.1162563775405153,0.05068928950159066,0.0,0.10989790650106265,0.0018027571580063629,0.0,0.03396850222092681,path,,9,0.4,degree,0.2044412909890525,9,,,
"Graph-Path[L=1,b=0.6,degree]",val,10,1.1256351047971345,0.9450239227092159,9596,0.03674320800928399,0.012899084016680717,0.01288175000809133,13163652,0.11117717003567182,187,943,880,0.0,0.0009090909090909091,0.0,0.010627241235756634,0.0011619193529287112,0.0,0.0185535615075203,0.007954545454545454,0.0,0.08888334048598688,0.0010984261258022126,0.0,0.01296237685187226,0.0003599837662337663,0.0,0.004654904800417558,6.648970134393878,6.663518371278935,0.23858074598175463,0.7799893526693483,0.792105174739578,0.047096781516903406,0.629467638752119,0.6346817370612732,0.030496361881310854,0.0,0.0,0.0,0.00042417815482502654,0.0,0.006502516966387975,0.999575821845175,1.0,0.006502516966387974,path,,1,0.6,degree,0.03674320800928399,1,,,
"Graph-Path[L=3,b=0.6,degree]",val,10,1.0461896444845649,0.8383014382933868,9596,0.07589370798086748,0.019533334008883685,0.03297137503977865,13163652,0.07966706302021404,134,943,880,0.9989395546129375,0.09863636363636363,0.1,0.10601030085160616,0.21179724383797205,0.125,0.2657504561136918,0.6090909090909091,1.0,0.4882315522464279,0.174954525703182,0.13000084749202068,0.20265732317324928,0.09639809679132595,0.03428571428571429,0.15776591191051287,1.8402544216491785,1.8010825476733245,0.253657496095347,0.7103905828533743,0.7165235023233395,0.061242177562244815,0.017482019426148278,0.012314098750743605,0.025205077342937813,0.9393425238600212,1.0,0.12673589723673573,0.05853658536585366,0.0,0.12001760525405485,0.002120890774125133,0.0,0.03441593682417978,path,,3,0.6,degree,0.07589370798086748,3,,,
"Graph-Path[L=5,b=0.6,degree]",val,10,1.0462585811323002,0.838858827920741,9596,0.1175559579860419,0.02065016597043723,0.032216250023338944,13163652,0.06956004756242569,117,943,880,0.9989395546129375,0.09522727272727274,0.1,0.10396001323611379,0.2047123501529781,0.1111111111111111,0.2620195476603116,0.5977272727272728,1.0,0.4906352300316243,0.16804610726561642,0.11751943973183493,0.19875716440237168,0.09167894291555005,0.032916666666666664,0.15313509371040296,1.7990579640855673,1.7660532344367124,0.23638888744737055,0.7115512591702988,0.7146001513416642,0.05832534383401274,0.015124499821156297,0.010707911957168352,0.02404816564804439,0.9527041357370096,1.0,0.10967334461952237,0.04559915164369035,0.0,0.10313162533216085,0.0016967126193001064,0.0,0.033817376088150136,path,,5,0.6,degree,0.1175559579860419,5,,,
"Graph-Path[L=7,b=0.6,degree]",val,10,1.0463881404461906,0.8391189764390329,9596,0.16935662500327453,0.01741908403346315,0.029453791968990117,13163652,0.06777645659928656,114,943,880,0.9989395546129375,0.09397727272727273,0.1,0.1012890722680718,0.2047659905590147,0.1111111111111111,0.26339967320043567,0.5977272727272728,1.0,0.4906352300316243,0.16510823051231616,0.11144551224898769,0.1944271690790482,0.08882051882200692,0.03125,0.14793245171138647,1.7835467369622802,1.758595888189565,0.22980235074137034,0.7120627741422912,0.7148559182656878,0.05726698975912836,0.014286678572757845,0.010291493158834028,0.023699260553762567,0.9577942735949099,1.0,0.10199814790103502,0.04050901378579003,0.0,0.09494973345182174,0.0016967126193001064,0.0,0.033817376088150136,path,,7,0.6,degree,0.16935662500327453,7,,,
"Graph-Path[L=9,b=0.6,degree]",val,10,1.0464363638833836,0.8392098436395797,9596,0.2056230420130305,0.018635834043379873,0.03079654200701043,13163652,0.06718192627824018,113,943,880,0.9989395546129375,0.09318181818181819,0.1,0.1014070011085209,0.20138756343058759,0.1111111111111111,0.2603540418110521,0.5920454545454545,1.0,0.4917340844024956,0.16350589556666467,0.1100458831490401,0.1938714661546621,0.08805306752330562,0.029841269841269842,0.1471821473660884,1.7793928000736474,1.7504994082098713,0.2276888623609353,0.7119500103273466,0.7147787389974123,0.05674060917601955,0.014064306770890173,0.01011302795954789,0.023580184880028054,0.9591728525980912,1.0,0.09945795143175101,0.0391304347826087,0.0,0.09230526616565643,0.0016967126193001064,0.0,0.033817376088150136,path,,9,0.6,degree,0.2056230420130305,9,,,
"Graph-Path[L=1,b=0.8,degree]",val,10,1.1256351047971345,0.9450239227092159,9596,0.03685350000159815,0.012648999982047826,0.012501792050898075,13163652,0.11117717003567182,187,943,880,0.0,0.0009090909090909091,0.0,0.010627241235756634,0.0011619193529287112,0.0,0.0185535615075203,0.007954545454545454,0.0,0.08888334048598688,0.0010984261258022126,0.0,0.01296237685187226,0.0003599837662337663,0.0,0.004654904800417558,6.648970134393878,6.663518371278935,0.23858074598175463,0.7799893526693483,0.792105174739578,0.047096781516903406,0.629467638752119,0.6346817370612732,0.030496361881310854,0.0,0.0,0.0,0.00042417815482502654,0.0,0.006502516966387975,0.999575821845175,1.0,0.006502516966387974,path,,1,0.8,degree,0.03685350000159815,1,,,
"Graph-Path[L=3,b=0.8,degree]",val,10,1.04296910757082,0.8370518426465187,9596,0.09620904200710356,0.020730166987050325,0.030686792044434696,13163652,0.07966706302021404,134,943,880,0.9989395546129375,0.09863636363636363,0.1,0.10601030085160616,0.21179724383797205,0.125,0.2657504561136918,0.6090909090909091,1.0,0.4882315522464279,0.174954525703182,0.13000084749202068,0.20265732317324928,0.09639809679132595,0.03428571428571429,0.15776591191051287,1.8402544216491785,1.8010825476733245,0.253657496095347,0.7103905828533743,0.7165235023233395,0.061242177562244815,0.017482019426148278,0.012314098750743605,0.025205077342937813,0.9393425238600212,1.0,0.12673589723673573,0.05853658536585366,0.0,0.12001760525405485,0.002120890774125133,0.0,0.03441593682417978,path,,3,0.8,degree,0.09620904200710356,3,,,
"Graph-Path[L=5,b=0.8,degree]",val,10,1.0442586193337318,0.8388282648373345,9596,0.11350862501421943,0.017524374998174608,0.03068616596283391,13163652,0.06658739595719382,112,943,880,0.9989395546129375,0.09295454545454547,0.1,0.10094163139457682,0.20053529070331486,0.1111111111111111,0.25867248090369505,0.5943181818181819,1.0,0.49130273170983024,0.16370726652917172,0.1100458831490401,0.1941042920775406,0.0883870482746971,0.03111111111111111,0.1481334806098198,1.7797108478156418,1.7519740748702481,0.22806310084838774,0.7124528585570958,0.7151120552279103,0.05705925626558484,0.01406582079166885,0.010113027959547887,0.023561145885327265,0.9585365853658537,1.0,0.1003644129153124,0.039872746553552496,0.0,0.09364513089831332,0.0015906680805938497,0.0,0.033665237160572785,path,,5,0.8,degree,0.11350862501421943,5,,,
"Graph-Path[L=7,b=0.8,degree]",val,10,1.045101276941986,0.8398398165233508,9596,0.205717500008177,0.01950187503825873,0.032318207959178835,13163652,0.058858501783590964,99,943,880,0.9989395546129375,0.08931818181818182,0.1,0.10005454092331502,0.19012942916472256,0.1,0.2520271207838789,0.5761363636363637,1.0,0.4944502740761446,0.1570052599618269,0.10086747116627115,0.19216038974492042,0.08455008757501316,0.025,0.14588548775220556,1.7530383205197393,1.7292884708168272,0.21387707252606347,0.7112446595325693,0.7137441014000481,0.0562383708648924,0.012572743967100328,0.009280190362879238,0.022751961121597962,0.9687168610816543,1.0,0.08336823516617538,0.02990455991516437,0.0,0.07610956602659238,0.0013785790031813363,0.0,0.03335786539882139,path,,7,0.8,degree,0.205717500008177,7,,,
"Graph-Path[L=9,b=0.8,degree]",val,10,1.0455680552358781,0.8403830807944277,9596,0.2285740840015933,0.017736083013005555,0.03132775000995025,13163652,0.055291319857312726,93,943,880,0.9989395546129375,0.08681818181818181,0.1,0.09849314586716705,0.18507746946369869,0.09090909090909091,0.250840494545578,0.5659090909090909,1.0,0.49591880772315206,0.1530571512969539,0.09512439872950906,0.18978567833902063,0.0821039120298793,0.023809523809523808,0.1435909142775641,1.7371018811948238,1.716578610271482,0.20556696637041216,0.7102894095058561,0.7132648889988111,0.05638657857174583,0.01161979405532358,0.008804283164782867,0.022100646857696686,0.9743372216330859,1.0,0.0735724779752234,0.02460233297985154,0.0,0.06636790173693392,0.0010604453870625664,0.0,0.03256448045129181,path,,9,0.8,degree,0.2285740840015933,9,,,
"Graph-Path[L=1,b=0.2,none]",val,10,1.1256351047971345,0.9450239227092159,9596,0.03596604202175513,0.012690791976638138,0.013845457986462861,13163652,0.11117717003567182,187,943,880,0.0,0.0009090909090909091,0.0,0.010627241235756634,0.0011619193529287112,0.0,0.0185535615075203,0.007954545454545454,0.0,0.08888334048598688,0.0010984261258022126,0.0,0.01296237685187226,0.0003599837662337663,0.0,0.004654904800417558,6.648970134393878,6.663518371278935,0.23858074598175463,0.7799893526693483,0.792105174739578,0.047096781516903406,0.629467638752119,0.6346817370612732,0.030496361881310854,0.0,0.0,0.0,0.00042417815482502654,0.0,0.006502516966387975,0.999575821845175,1.0,0.006502516966387974,path,,1,0.2,none,0.03596604202175513,1,,,
"Graph-Path[L=3,b=0.2,none]",val,10,1.0560318320111246,0.8559292567896881,9596,0.07510645897127688,0.01769270800286904,0.03188262501498684,13163652,0.048156956004756245,81,943,880,0.9989395546129375,0.08636363636363636,0.1,0.10642800894507629,0.16018033175023344,0.07019704433497537,0.22955663395908413,0.5227272727272727,1.0,0.49976724337322015,0.14385461703650396,0.07336392209936006,0.18883799997469528,0.07745618618870106,0.014285714285714285,0.139735282593104,1.7887459280052815,1.7651649210927514,0.21639921556054884,0.7132915273203722,0.7166345639947358,0.054505848306796126,0.012071540005160288,0.010232004759071982,0.021739151748280724,0.9927889713679746,1.0,0.04335902805050313,0.006150583244962885,0.0,0.028855129346002567,0.0010604453870625664,0.0,0.03256448045129181,path,,3,0.2,none,0.07510645897127688,3,,,
"Graph-Path[L=5,b=0.2,none]",val,10,1.0739170560188827,0.8800804982863842,9596,0.11272475001169369,0.015498333028517663,0.03109704196685925,13163652,0.032699167657550536,55,943,880,0.9989395546129375,0.07238636363636364,0.0,0.10207733486885838,0.11320011089220804,0.0,0.18468073670086976,0.43522727272727274,0.0,0.49606867958378337,0.10858286200267048,0.0,0.160558367009959,0.054343001478790176,0.0,0.10518134243290886,1.797701157841779,1.770763407458216,0.20621074841001638,0.704640632148341,0.7077227694175656,0.061971641909599494,0.011634240336920091,0.009637120761451515,0.021608142169027417,0.9989395546129375,1.0,0.03256448045129181,0.0,0.0,0.0,0.0010604453870625664,0.0,0.03256448045129181,path,,5,0.2,none,0.11272475001169369,5,,,
"Graph-Path[L=7,b=0.2,none]",val,10,1.0833394008384476,0.8943560485790986,9596,0.15462929097702727,0.01551870902767405,0.03003124997485429,13163652,0.03210463733650416,54,943,880,0.9989395546129375,0.07193181818181818,0.0,0.1023985160869249,0.11237157019706653,0.0,0.18472552877858783,0.43068181818181817,0.0,0.4954532645219659,0.10737498125502483,0.0,0.15945888524637342,0.053440539357578046,0.0,0.1032997193369971,1.801554979871921,1.7731156797435585,0.20581244592728792,0.706050647330722,0.7077227694175656,0.06226884312834983,0.01175346947324063,0.009577632361689471,0.021611167046133216,0.9988335100742312,1.0,0.03272345784437559,0.00010604453870625664,0.0,0.003256448045129181,0.0010604453870625664,0.0,0.03256448045129181,path,,7,0.2,none,0.15462929097702727,7,,,
"Graph-Path[L=9,b=0.2,none]",val,10,1.0898713382855272,0.9040801911387587,9596,0.20079566596541554,0.015431792009621859,0.0301269160117954,13163652,0.03210463733650416,54,943,880,0.9989395546129375,0.07170454545454545,0.0,0.10244698499574893,0.11164670793811336,0.0,0.18418730036085676,0.42954545454545456,0.0,0.4952927659312883,0.10690336996904382,0.0,0.15932669798069402,0.05319765666157035,0.0,0.1031931355218949,1.8041073869503104,1.7731156797435585,0.2038778945448253,0.7098008538978392,0.7077227694175656,0.05824302416189795,0.011828224249187632,0.009637120761451515,0.021593035059167598,0.9988335100742312,1.0,0.03272345784437559,0.00010604453870625664,0.0,0.003256448045129181,0.0010604453870625664,0.0,0.03256448045129181,path,,9,0.2,none,0.20079566596541554,9,,,
